trackName,artist,date,region
Shape of You,Ed Sheeran,2/1/17,br
VocÃª Partiu Meu CoraÃ§Ã£o,Nego do Borel,3/1/17,br
Shape of You,Ed Sheeran,4/1/17,br
Despacito - Remix,Luis Fonsi,5/1/17,br
Paradinha,Anitta,6/1/17,br
Paradinha,Anitta,7/1/17,br
Sua Cara (feat. Anitta & Pabllo Vittar),Major Lazer,8/1/17,br
Look What You Made Me Do,Taylor Swift,9/1/17,br
Sua Cara (feat. Anitta & Pabllo Vittar),Major Lazer,10/1/17,br
Agora Vai Sentar,MC Jhowzinho e MC Kadinho,11/1/17,br
Downtown,Anitta,12/1/17,br
Starboy,The Weeknd,1/1/17,ca
Shape of You,Ed Sheeran,2/1/17,ca
Shape of You,Ed Sheeran,3/1/17,ca
Shape of You,Ed Sheeran,4/1/17,ca
I'm the One,DJ Khaled,5/1/17,ca
Despacito - Remix,Luis Fonsi,6/1/17,ca
Despacito - Remix,Luis Fonsi,7/1/17,ca
Despacito - Remix,Luis Fonsi,8/1/17,ca
Look What You Made Me Do,Taylor Swift,9/1/17,ca
rockstar,Post Malone,10/1/17,ca
rockstar,Post Malone,11/1/17,ca
rockstar,Post Malone,12/1/17,ca
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1/1/17,ch
Shape of You,Ed Sheeran,2/1/17,ch
Shape of You,Ed Sheeran,3/1/17,ch
Shape of You,Ed Sheeran,4/1/17,ch
Despacito - Remix,Luis Fonsi,5/1/17,ch
Despacito - Remix,Luis Fonsi,6/1/17,ch
Wild Thoughts,DJ Khaled,7/1/17,ch
Mi Gente,J Balvin,8/1/17,ch
Mi Gente,J Balvin,9/1/17,ch
rockstar,Post Malone,10/1/17,ch
rockstar,Post Malone,11/1/17,ch
rockstar,Post Malone,12/1/17,ch
Chantaje,Shakira,1/1/17,cl
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,cl
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,cl
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,cl
Me RehÃºso,Danny Ocean,5/1/17,cl
Felices los 4,Maluma,6/1/17,cl
Me RehÃºso,Danny Ocean,7/1/17,cl
Mi Gente,J Balvin,8/1/17,cl
Mi Gente,J Balvin,9/1/17,cl
Se PreparÃ³,Ozuna,10/1/17,cl
Criminal,Natti Natasha,11/1/17,cl
Ã‰chame La Culpa,Luis Fonsi,12/1/17,cl
Otra Vez (feat. J Balvin),Zion & Lennox,1/1/17,co
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,co
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,co
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,co
Me RehÃºso,Danny Ocean,5/1/17,co
Felices los 4,Maluma,6/1/17,co
Mi Gente,J Balvin,7/1/17,co
Robarte un Beso,Carlos Vives,8/1/17,co
Robarte un Beso,Carlos Vives,9/1/17,co
Robarte un Beso,Carlos Vives,10/1/17,co
DÃ©jala Que Vuelva (feat. Manuel Turizo),Piso 21,11/1/17,co
DÃ©jala Que Vuelva (feat. Manuel Turizo),Piso 21,12/1/17,co
ReggaetÃ³n Lento (Bailemos),CNCO,1/1/17,cr
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,cr
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,cr
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,cr
Shape of You,Ed Sheeran,5/1/17,cr
Shape of You,Ed Sheeran,6/1/17,cr
Me RehÃºso,Danny Ocean,7/1/17,cr
Mi Gente,J Balvin,8/1/17,cr
Mi Gente,J Balvin,9/1/17,cr
Una Lady Como TÃº,Manuel Turizo,10/1/17,cr
Se PreparÃ³,Ozuna,11/1/17,cr
Se PreparÃ³,Ozuna,12/1/17,cr
Closer,The Chainsmokers,1/1/17,cz
Shape of You,Ed Sheeran,2/1/17,cz
Shape of You,Ed Sheeran,3/1/17,cz
Shape of You,Ed Sheeran,4/1/17,cz
Shape of You,Ed Sheeran,5/1/17,cz
Despacito - Remix,Luis Fonsi,6/1/17,cz
Thunder,Imagine Dragons,7/1/17,cz
Thunder,Imagine Dragons,8/1/17,cz
Look What You Made Me Do,Taylor Swift,9/1/17,cz
rockstar,Post Malone,10/1/17,cz
Havana,Camila Cabello,11/1/17,cz
rockstar,Post Malone,12/1/17,cz
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1/1/17,de
Shape of You,Ed Sheeran,2/1/17,de
Shape of You,Ed Sheeran,3/1/17,de
Shape of You,Ed Sheeran,4/1/17,de
Despacito - Remix,Luis Fonsi,5/1/17,de
Despacito - Remix,Luis Fonsi,6/1/17,de
Despacito - Remix,Luis Fonsi,7/1/17,de
More Than You Know,Axwell /\ Ingrosso,8/1/17,de
More Than You Know,Axwell /\ Ingrosso,9/1/17,de
rockstar,Post Malone,10/1/17,de
Was Du Liebe nennst,Bausa,11/1/17,de
Was Du Liebe nennst,Bausa,12/1/17,de
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1/1/17,dk
Shape of You,Ed Sheeran,2/1/17,dk
Utro,Gulddreng,3/1/17,dk
Shape of You,Ed Sheeran,4/1/17,dk
Despacito - Remix,Luis Fonsi,5/1/17,dk
Despacito - Remix,Luis Fonsi,6/1/17,dk
Despacito - Remix,Luis Fonsi,7/1/17,dk
Rica,Gilli,8/1/17,dk
Friends (with BloodPopÂ®),Justin Bieber,9/1/17,dk
rockstar,Post Malone,10/1/17,dk
rockstar,Post Malone,11/1/17,dk
Stilen Lagt,Molo,12/1/17,dk
Chantaje,Shakira,1/1/17,do
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,do
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,do
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,do
Ahora Dice,Chris Jeday,5/1/17,do
Felices los 4,Maluma,6/1/17,do
Felices los 4,Maluma,7/1/17,do
Mi Gente,J Balvin,8/1/17,do
El Farsante,Ozuna,9/1/17,do
El Farsante,Ozuna,10/1/17,do
Vuelve,Daddy Yankee,11/1/17,do
Sensualidad,Bad Bunny,12/1/17,do
ReggaetÃ³n Lento (Bailemos),CNCO,1/1/17,ec
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,ec
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,ec
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,ec
Felices los 4,Maluma,5/1/17,ec
Felices los 4,Maluma,6/1/17,ec
Felices los 4,Maluma,7/1/17,ec
Mi Gente,J Balvin,8/1/17,ec
Robarte un Beso,Carlos Vives,9/1/17,ec
Robarte un Beso,Carlos Vives,10/1/17,ec
Criminal,Natti Natasha,11/1/17,ec
Ã‰chame La Culpa,Luis Fonsi,12/1/17,ec
Starboy,The Weeknd,1/1/17,ee
Shape of You,Ed Sheeran,2/1/17,ee
Shape of You,Ed Sheeran,3/1/17,ee
Shape of You,Ed Sheeran,4/1/17,ee
Despacito - Remix,Luis Fonsi,5/1/17,ee
Despacito - Remix,Luis Fonsi,6/1/17,ee
2U (feat. Justin Bieber),David Guetta,7/1/17,ee
Thunder,Imagine Dragons,8/1/17,ee
rockstar,Post Malone,12/1/17,ee
Chantaje,Shakira,1/1/17,es
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,es
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,es
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,es
Despacito - Remix,Luis Fonsi,5/1/17,es
Felices los 4,Maluma,6/1/17,es
Felices los 4,Maluma,7/1/17,es
Mi Gente,J Balvin,8/1/17,es
Mi Gente,J Balvin,9/1/17,es
Mayores,Becky G,10/1/17,es
Criminal,Natti Natasha,11/1/17,es
Ã‰chame La Culpa,Luis Fonsi,12/1/17,es
Hukutaan,Arttu Lindeman,1/1/17,fi
Shape of You,Ed Sheeran,2/1/17,fi
Rahan takii,Antti Tuisku,3/1/17,fi
Shape of You,Ed Sheeran,4/1/17,fi
Despacito - Remix,Luis Fonsi,5/1/17,fi
Hanuri (feat. Boyat),Antti Tuisku,6/1/17,fi
Despacito - Remix,Luis Fonsi,7/1/17,fi
EYO (feat. Nelli Matula),Profeetat,8/1/17,fi
Ã„lÃ¤ jÃ¤tÃ¤ roikkuu,JVG,9/1/17,fi
rockstar,Post Malone,10/1/17,fi
rockstar,Post Malone,11/1/17,fi
Solmussa (feat. BEHM),Pikku G,12/1/17,fi
One Dance,Drake,1/1/17,fr
Shape of You,Ed Sheeran,2/1/17,fr
Shape of You,Ed Sheeran,3/1/17,fr
Shape of You,Ed Sheeran,4/1/17,fr
Î˜. Macarena,Damso,5/1/17,fr
Î˜. Macarena,Damso,6/1/17,fr
Î˜. Macarena,Damso,7/1/17,fr
RÃ©seaux,Niska,8/1/17,fr
RÃ©seaux,Niska,9/1/17,fr
RÃ©seaux,Niska,10/1/17,fr
Mwaka Moon,Kalash,11/1/17,fr
113,Booba,12/1/17,fr
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1/1/17,gb
Shape of You,Ed Sheeran,2/1/17,gb
Shape of You,Ed Sheeran,3/1/17,gb
Galway Girl,Ed Sheeran,4/1/17,gb
I'm the One,DJ Khaled,5/1/17,gb
Despacito - Remix,Luis Fonsi,6/1/17,gb
Despacito - Remix,Luis Fonsi,7/1/17,gb
Wild Thoughts,DJ Khaled,8/1/17,gb
New Rules,Dua Lipa,9/1/17,gb
rockstar,Post Malone,10/1/17,gb
rockstar,Post Malone,11/1/17,gb
All I Want for Christmas Is You,Mariah Carey,12/1/17,gb
Starboy,The Weeknd,1/1/17,gr
Shape of You,Ed Sheeran,2/1/17,gr
Shape of You,Ed Sheeran,3/1/17,gr
Shape of You,Ed Sheeran,4/1/17,gr
Despacito - Remix,Luis Fonsi,5/1/17,gr
Despacito - Remix,Luis Fonsi,6/1/17,gr
Despacito - Remix,Luis Fonsi,7/1/17,gr
Mi Gente,J Balvin,8/1/17,gr
Look What You Made Me Do,Taylor Swift,9/1/17,gr
rockstar,Post Malone,10/1/17,gr
rockstar,Post Malone,11/1/17,gr
rockstar,Post Malone,12/1/17,gr
ReggaetÃ³n Lento (Bailemos),CNCO,1/1/17,gt
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,gt
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,gt
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,gt
Felices los 4,Maluma,5/1/17,gt
Felices los 4,Maluma,6/1/17,gt
Felices los 4,Maluma,7/1/17,gt
Mi Gente,J Balvin,8/1/17,gt
Mi Gente,J Balvin,9/1/17,gt
Me RehÃºso,Danny Ocean,10/1/17,gt
Criminal,Natti Natasha,11/1/17,gt
Sensualidad,Bad Bunny,12/1/17,gt
Closer,The Chainsmokers,1/1/17,hk
Shape of You,Ed Sheeran,2/1/17,hk
Something Just Like This,The Chainsmokers,3/1/17,hk
Shape of You,Ed Sheeran,4/1/17,hk
Something Just Like This,The Chainsmokers,5/1/17,hk
Despacito - Remix,Luis Fonsi,6/1/17,hk
Despacito - Remix,Luis Fonsi,7/1/17,hk
Despacito - Remix,Luis Fonsi,8/1/17,hk
Look What You Made Me Do,Taylor Swift,9/1/17,hk
Look What You Made Me Do,Taylor Swift,10/1/17,hk
Wolves,Selena Gomez,11/1/17,hk
Wolves,Selena Gomez,12/1/17,hk
Otra Vez (feat. J Balvin),Zion & Lennox,1/1/17,hn
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,hn
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,hn
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,hn
Me RehÃºso,Danny Ocean,5/1/17,hn
Felices los 4,Maluma,6/1/17,hn
Me RehÃºso,Danny Ocean,7/1/17,hn
Mi Gente,J Balvin,8/1/17,hn
Mi Gente,J Balvin,9/1/17,hn
Mayores,Becky G,10/1/17,hn
Criminal,Natti Natasha,11/1/17,hn
Sensualidad,Bad Bunny,12/1/17,hn
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1/1/17,hu
Shape of You,Ed Sheeran,2/1/17,hu
Shape of You,Ed Sheeran,3/1/17,hu
Shape of You,Ed Sheeran,4/1/17,hu
Despacito - Remix,Luis Fonsi,5/1/17,hu
Despacito - Remix,Luis Fonsi,6/1/17,hu
Despacito - Remix,Luis Fonsi,7/1/17,hu
More Than You Know,Axwell /\ Ingrosso,8/1/17,hu
Look What You Made Me Do,Taylor Swift,9/1/17,hu
rockstar,Post Malone,10/1/17,hu
Havana,Camila Cabello,11/1/17,hu
Havana,Camila Cabello,12/1/17,hu
Closer,The Chainsmokers,1/1/17,id
Shape of You,Ed Sheeran,2/1/17,id
Something Just Like This,The Chainsmokers,3/1/17,id
Something Just Like This,The Chainsmokers,4/1/17,id
Something Just Like This,The Chainsmokers,5/1/17,id
Despacito - Remix,Luis Fonsi,6/1/17,id
Despacito - Remix,Luis Fonsi,7/1/17,id
Despacito - Remix,Luis Fonsi,8/1/17,id
Akad,Payung Teduh,9/1/17,id
Too Good At Goodbyes - Edit,Sam Smith,10/1/17,id
Havana,Camila Cabello,11/1/17,id
Havana,Camila Cabello,12/1/17,id
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1/1/17,ie
Shape of You,Ed Sheeran,2/1/17,ie
Shape of You,Ed Sheeran,3/1/17,ie
Galway Girl,Ed Sheeran,4/1/17,ie
Despacito - Remix,Luis Fonsi,5/1/17,ie
Despacito - Remix,Luis Fonsi,6/1/17,ie
Despacito - Remix,Luis Fonsi,7/1/17,ie
Unforgettable,French Montana,8/1/17,ie
New Rules,Dua Lipa,9/1/17,ie
New Rules,Dua Lipa,10/1/17,ie
Havana,Camila Cabello,11/1/17,ie
Perfect Duet (Ed Sheeran & BeyoncÃ©),Ed Sheeran,12/1/17,ie
Starboy,The Weeknd,1/1/17,is
Shape of You,Ed Sheeran,2/1/17,is
Neinei,Attan,3/1/17,is
Fullir Vasar,Aron Can,4/1/17,is
Despacito - Remix,Luis Fonsi,5/1/17,is
Despacito - Remix,Luis Fonsi,6/1/17,is
Despacito - Remix,Luis Fonsi,7/1/17,is
Ã‰g Vil ÃžaÃ°,Chase,8/1/17,is
Ã‰g Vil ÃžaÃ°,Chase,9/1/17,is
B.O.B.A.,JÃ³iPÃ©,10/1/17,is
JÃ¡ Ã©g veit,Birnir,11/1/17,is
JÃ¡ Ã©g veit,Birnir,12/1/17,is
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1/1/17,it
Shape of You,Ed Sheeran,2/1/17,it
Shape of You,Ed Sheeran,3/1/17,it
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,it
Despacito (Featuring Daddy Yankee),Luis Fonsi,5/1/17,it
Happy Days,Ghali,6/1/17,it
Lamborghini,Gue Pequeno,7/1/17,it
Senza Pagare VS T-Pain,J-AX,8/1/17,it
Mi Gente,J Balvin,9/1/17,it
La musica non c'Ã¨,Coez,10/1/17,it
La musica non c'Ã¨,Coez,11/1/17,it
Perdonami,Salmo,12/1/17,it
Closer,The Chainsmokers,1/1/17,jp
Shape of You,Ed Sheeran,2/1/17,jp
Something Just Like This,The Chainsmokers,3/1/17,jp
Shape of You,Ed Sheeran,4/1/17,jp
Shape of You,Ed Sheeran,5/1/17,jp
Shape of You,Ed Sheeran,6/1/17,jp
Shape of You,Ed Sheeran,7/1/17,jp
Shape of You,Ed Sheeran,8/1/17,jp
æ‰“ä¸ŠèŠ±ç«,DAOKOÃ—ç±³æ´¥çŽ„å¸«,9/1/17,jp
Shape of You,Ed Sheeran,10/1/17,jp
Shape of You,Ed Sheeran,11/1/17,jp
Shape of You,Ed Sheeran,12/1/17,jp
Starboy,The Weeknd,1/1/17,lt
Shape of You,Ed Sheeran,2/1/17,lt
Shape of You,Ed Sheeran,3/1/17,lt
Shape of You,Ed Sheeran,4/1/17,lt
Despacito - Remix,Luis Fonsi,5/1/17,lt
Despacito - Remix,Luis Fonsi,6/1/17,lt
2U (feat. Justin Bieber),David Guetta,7/1/17,lt
Thunder,Imagine Dragons,8/1/17,lt
Look What You Made Me Do,Taylor Swift,9/1/17,lt
rockstar,Post Malone,12/1/17,lt
Starboy,The Weeknd,1/1/17,lu
Shape of You,Ed Sheeran,2/1/17,lu
Shape of You,Ed Sheeran,3/1/17,lu
Shape of You,Ed Sheeran,4/1/17,lu
Despacito - Remix,Luis Fonsi,5/1/17,lu
Despacito - Remix,Luis Fonsi,6/1/17,lu
Despacito - Remix,Luis Fonsi,7/1/17,lu
Mi Gente,J Balvin,8/1/17,lu
Starboy,The Weeknd,1/1/17,lv
Shape of You,Ed Sheeran,2/1/17,lv
Shape of You,Ed Sheeran,3/1/17,lv
Shape of You,Ed Sheeran,4/1/17,lv
HUMBLE.,Kendrick Lamar,5/1/17,lv
Despacito - Remix,Luis Fonsi,6/1/17,lv
Thunder,Imagine Dragons,7/1/17,lv
Thunder,Imagine Dragons,8/1/17,lv
Look What You Made Me Do,Taylor Swift,9/1/17,lv
rockstar,Post Malone,10/1/17,lv
rockstar,Post Malone,11/1/17,lv
rockstar,Post Malone,12/1/17,lv
Chantaje,Shakira,1/1/17,mx
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,mx
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,mx
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,mx
Felices los 4,Maluma,5/1/17,mx
Felices los 4,Maluma,6/1/17,mx
Felices los 4,Maluma,7/1/17,mx
Mi Gente,J Balvin,8/1/17,mx
Mi Gente,J Balvin,9/1/17,mx
Bonita,J Balvin,10/1/17,mx
Se PreparÃ³,Ozuna,11/1/17,mx
Criminal,Natti Natasha,12/1/17,mx
Closer,The Chainsmokers,1/1/17,my
Shape of You,Ed Sheeran,2/1/17,my
Shape of You,Ed Sheeran,3/1/17,my
Shape of You,Ed Sheeran,4/1/17,my
Shape of You,Ed Sheeran,5/1/17,my
Despacito - Remix,Luis Fonsi,6/1/17,my
Despacito - Remix,Luis Fonsi,7/1/17,my
Despacito - Remix,Luis Fonsi,8/1/17,my
Look What You Made Me Do,Taylor Swift,9/1/17,my
Dusk Till Dawn - Radio Edit,ZAYN,10/1/17,my
Perfect,Ed Sheeran,11/1/17,my
Perfect,Ed Sheeran,12/1/17,my
Energie,Ronnie Flex,1/1/17,nl
Shape of You,Ed Sheeran,2/1/17,nl
Shape of You,Ed Sheeran,3/1/17,nl
Habiba,Boef,4/1/17,nl
Despacito - Remix,Luis Fonsi,5/1/17,nl
Krantenwijk,Lil' Kleine,6/1/17,nl
Krantenwijk,Lil' Kleine,7/1/17,nl
Mi Gente,J Balvin,8/1/17,nl
Mi Gente,J Balvin,9/1/17,nl
Patsergedrag,Sevn Alias,10/1/17,nl
Vervloekt,Frenna,11/1/17,nl
Op Me Monnie,Frenna,12/1/17,nl
Alone,Alan Walker,1/1/17,no
Shape of You,Ed Sheeran,2/1/17,no
It Ain't Me (with Selena Gomez),Kygo,3/1/17,no
It Ain't Me (with Selena Gomez),Kygo,4/1/17,no
Despacito - Remix,Luis Fonsi,5/1/17,no
Despacito - Remix,Luis Fonsi,6/1/17,no
Despacito - Remix,Luis Fonsi,7/1/17,no
Despacito - Remix,Luis Fonsi,8/1/17,no
Think Before I Talk,Astrid S,9/1/17,no
rockstar,Post Malone,10/1/17,no
rockstar,Post Malone,11/1/17,no
All Falls Down,Alan Walker,12/1/17,no
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1/1/17,nz
Shape of You,Ed Sheeran,2/1/17,nz
Shape of You,Ed Sheeran,3/1/17,nz
Shape of You,Ed Sheeran,4/1/17,nz
HUMBLE.,Kendrick Lamar,5/1/17,nz
Despacito - Remix,Luis Fonsi,6/1/17,nz
Despacito - Remix,Luis Fonsi,7/1/17,nz
Wild Thoughts,DJ Khaled,8/1/17,nz
Look What You Made Me Do,Taylor Swift,9/1/17,nz
rockstar,Post Malone,10/1/17,nz
rockstar,Post Malone,11/1/17,nz
I Fall Apart,Post Malone,12/1/17,nz
Chantaje,Shakira,1/1/17,pa
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,pa
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,pa
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,pa
Despacito - Remix,Luis Fonsi,5/1/17,pa
Felices los 4,Maluma,6/1/17,pa
Mi Gente,J Balvin,7/1/17,pa
Mi Gente,J Balvin,8/1/17,pa
Mi Gente,J Balvin,9/1/17,pa
Suena El Dembow,Joey Montana,10/1/17,pa
Suena El Dembow,Joey Montana,11/1/17,pa
Sensualidad,Bad Bunny,12/1/17,pa
Chantaje,Shakira,1/1/17,pe
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,pe
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,pe
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,pe
Despacito - Remix,Luis Fonsi,5/1/17,pe
Felices los 4,Maluma,6/1/17,pe
Felices los 4,Maluma,7/1/17,pe
Me RehÃºso,Danny Ocean,8/1/17,pe
Me RehÃºso,Danny Ocean,9/1/17,pe
Mayores,Becky G,10/1/17,pe
Criminal,Natti Natasha,11/1/17,pe
Criminal,Natti Natasha,12/1/17,pe
Versace On The Floor,Bruno Mars,1/1/17,ph
Versace On The Floor,Bruno Mars,2/1/17,ph
Shape of You,Ed Sheeran,3/1/17,ph
Shape of You,Ed Sheeran,4/1/17,ph
Shape of You,Ed Sheeran,5/1/17,ph
I'm the One,DJ Khaled,6/1/17,ph
Despacito - Remix,Luis Fonsi,7/1/17,ph
Despacito - Remix,Luis Fonsi,8/1/17,ph
Look What You Made Me Do,Taylor Swift,9/1/17,ph
Too Good At Goodbyes - Edit,Sam Smith,10/1/17,ph
Too Good At Goodbyes - Edit,Sam Smith,11/1/17,ph
Perfect,Ed Sheeran,12/1/17,ph
Let Me Love You,DJ Snake,1/1/17,pl
Shape of You,Ed Sheeran,2/1/17,pl
Shape of You,Ed Sheeran,3/1/17,pl
Shape of You,Ed Sheeran,4/1/17,pl
Shape of You,Ed Sheeran,5/1/17,pl
Despacito - Remix,Luis Fonsi,6/1/17,pl
2U (feat. Justin Bieber),David Guetta,7/1/17,pl
Nostalgia,Taco Hemingway,8/1/17,pl
Look What You Made Me Do,Taylor Swift,9/1/17,pl
Dusk Till Dawn - Radio Edit,ZAYN,10/1/17,pl
Havana,Camila Cabello,11/1/17,pl
rockstar,Post Malone,12/1/17,pl
Starboy,The Weeknd,1/1/17,pt
Shape of You,Ed Sheeran,2/1/17,pt
Shape of You,Ed Sheeran,3/1/17,pt
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,pt
Despacito - Remix,Luis Fonsi,5/1/17,pt
I'm the One,DJ Khaled,6/1/17,pt
Wild Thoughts,DJ Khaled,7/1/17,pt
Wild Thoughts,DJ Khaled,8/1/17,pt
Mi Gente,J Balvin,9/1/17,pt
rockstar,Post Malone,10/1/17,pt
rockstar,Post Malone,11/1/17,pt
rockstar,Post Malone,12/1/17,pt
Chantaje,Shakira,1/1/17,py
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,py
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,py
Me RehÃºso,Danny Ocean,4/1/17,py
Felices los 4,Maluma,5/1/17,py
Felices los 4,Maluma,6/1/17,py
Una Lady Como TÃº,Manuel Turizo,7/1/17,py
Una Lady Como TÃº,Manuel Turizo,8/1/17,py
Mi Gente,J Balvin,9/1/17,py
ExplÃ­cale,Yandel,10/1/17,py
Criminal,Natti Natasha,11/1/17,py
Sensualidad,Bad Bunny,12/1/17,py
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1/1/17,se
Shape of You,Ed Sheeran,2/1/17,se
It Ain't Me (with Selena Gomez),Kygo,3/1/17,se
Symphony (feat. Zara Larsson),Clean Bandit,4/1/17,se
Despacito - Remix,Luis Fonsi,5/1/17,se
Despacito - Remix,Luis Fonsi,6/1/17,se
Jag trodde Ã¤nglarna fanns,Kamferdrops,7/1/17,se
Despacito - Remix,Luis Fonsi,8/1/17,se
Without You (feat. Sandro Cavazza),Avicii,9/1/17,se
rockstar,Post Malone,10/1/17,se
rockstar,Post Malone,11/1/17,se
Perfect Duet (Ed Sheeran & BeyoncÃ©),Ed Sheeran,12/1/17,se
Closer,The Chainsmokers,1/1/17,sg
Shape of You,Ed Sheeran,2/1/17,sg
